,Date,IPO_Name,Issue Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Total_Subscription,Issue Price,Listing Open,Listing Close,Listing Gain Percent
430,2010-12-30,Punjab & Sind,480,49.8,22.91,8.38,47.2,120,146.1,127.05,5.87
119,2023-09-11,Rishabh Instruments Ltd.,490.8,72.5,31.3,8.4,31.6,441,460.1,443.1,0.5
469,2010-05-10,Talwalkars Fitn,77.44,35.43,51.48,8.43,28.39,128,138,162.6,27.03
421,2011-05-06,Muthoot Finance,901.25,25.01,60.94,8.5,24.55,175,176.45,176.25,0.71
443,2010-10-14,Bedmutha Ind,91.8,0.67,29.19,8.51,7.69,102,114.4,180.8,77.25
314,2017-09-04,Apex Frozen,152.25,1.91,7.82,8.53,6.14,175,202,209.85,19.91
445,2010-10-13,Va Tech Wabag,472.6,36.13,100.98,8.55,36.22,1310,1655,341.88,-73.9
408,2011-08-04,Inventure Grow,81.9,0.25,9.49,8.66,4.58,117,119,5.2,-95.56
201,2021-11-18,Sapphire Foods India Ltd.,2073.3,7.5,3.5,8.7,6.6,1180,1311,1216,3.1
350,2016-05-09,Thyrocare Techn,479.21,73.18,225.3,8.73,73.55,446,662,618.1,38.59
100,2023-11-13,Protean eGov Technologies Ltd.,490.3,46.9,31.6,8.9,23.9,792,792,883,11.5
226,2021-07-19,Clean Science and Technology Ltd.,1546.6,156.4,206.4,9,93.4,900,1784.4,1585.2,76.1
447,2010-10-12,Tecpro Systems,268.03,27.99,62.48,9.07,24.47,355,399.4,407.85,14.89
31,2024-09-06,Baazar Style Retail Ltd.,834.7,81.8,59.4,9.1,40.7,389,389,400,2.8
456,2010-09-09,Gujarat Pipavav,500,13.2,85.7,9.15,19.94,46,56.25,54.05,17.5
90,2023-12-26,Suraj Estate Developers Ltd.,400,24.3,18.9,9.3,15.7,360,340,334.5,-7.1
105,2023-10-26,IRM Energy Ltd.,545.4,44.7,48.3,9.3,27.1,505,477.3,473.1,-6.3
420,2011-05-09,Paramount Print,45.83,0.33,3.28,9.31,3.92,35,35,26.65,-23.86
312,2017-09-18,Dixon Technolog,599.28,134.66,345.62,9.46,117.27,1766,2725,578.56,-67.24
407,2011-08-12,L&T Finance,1245,1.93,6.18,9.61,5.34,52,53.85,46.46,-10.65
477,2010-03-18,United Bank,330,47.08,39.15,9.8,33.38,66,77,68.8,4.24
330,2017-03-17,Music Broadcast,488.53,39.78,109.13,9.85,39.67,333,413,59.7,-82.07
